features
b'ENSG00000237613'
b'ENSG00000186092'
b'ENSG00000238009'
b'ENSG00000239945'
b'ENSG00000239906'
b'ENSG00000241599'
b'ENSG00000228463'
b'ENSG00000236601'
b'ENSG00000237094'
b'ENSG00000230021'
b'ENSG00000235146'
b'ENSG00000229905'
b'ENSG00000237491'
b'ENSG00000177757'
b'ENSG00000225880'
b'ENSG00000230368'
b'ENSG00000272438'
b'ENSG00000230699'
b'ENSG00000241180'
b'ENSG00000223764'
b'ENSG00000187634'
b'ENSG00000188976'
b'ENSG00000187961'
b'ENSG00000187583'
b'ENSG00000272512'
b'ENSG00000188290'
b'ENSG00000187608'
b'ENSG00000224969'
b'ENSG00000188157'
b'ENSG00000273443'
b'ENSG00000237330'
b'ENSG00000131591'
b'ENSG00000272141'
b'ENSG00000205231'
b'ENSG00000162571'
b'ENSG00000186891'
b'ENSG00000186827'
b'ENSG00000078808'
b'ENSG00000176022'
b'ENSG00000184163'
b'ENSG00000260179'
b'ENSG00000160087'
b'ENSG00000230415'
b'ENSG00000162572'
b'ENSG00000131584'
b'ENSG00000169972'
b'ENSG00000127054'
b'ENSG00000169962'
b'ENSG00000107404'
b'ENSG00000162576'
b'ENSG00000175756'
b'ENSG00000221978'
b'ENSG00000242485'
b'ENSG00000272455'
b'ENSG00000235098'
b'ENSG00000225905'
b'ENSG00000205116'
b'ENSG00000225285'
b'ENSG00000179403'
b'ENSG00000215915'
b'ENSG00000160072'
b'ENSG00000197785'
b'ENSG00000205090'
b'ENSG00000160075'
b'ENSG00000215014'
b'ENSG00000228594'
b'ENSG00000272106'
b'ENSG00000197530'
b'ENSG00000189409'
b'ENSG00000248333'
b'ENSG00000272004'
b'ENSG00000189339'
b'ENSG00000269737'
b'ENSG00000008128'
b'ENSG00000215790'
b'ENSG00000008130'
b'ENSG00000078369'
b'ENSG00000231050'
b'ENSG00000169885'
b'ENSG00000178821'
b'ENSG00000233542'
b'ENSG00000187730'
b'ENSG00000226969'
b'ENSG00000067606'
b'ENSG00000271806'
b'ENSG00000182873'
b'ENSG00000234396'
b'ENSG00000157933'
b'ENSG00000116151'
b'ENSG00000157916'
b'ENSG00000157911'
b'ENSG00000149527'
b'ENSG00000224387'
b'ENSG00000229393'
b'ENSG00000157881'
b'ENSG00000197921'
b'ENSG00000272449'
b'ENSG00000238164'
b'ENSG00000157873'
b'ENSG00000228037'
b'ENSG00000157870'
b'ENSG00000142606'
b'ENSG00000237058'
b'ENSG00000215912'
b'ENSG00000233234'
b'ENSG00000231630'
b'ENSG00000169717'
b'ENSG00000177133'
b'ENSG00000142611'
b'ENSG00000226286'
b'ENSG00000272235'
b'ENSG00000130762'
b'ENSG00000272088'
b'ENSG00000162591'
b'ENSG00000238260'
b'ENSG00000158109'
b'ENSG00000116213'
b'ENSG00000078900'
b'ENSG00000227589'
b'ENSG00000235131'
b'ENSG00000227372'
b'ENSG00000162592'
b'ENSG00000235169'
b'ENSG00000130764'
b'ENSG00000272153'
b'ENSG00000116198'
b'ENSG00000169598'
b'ENSG00000198912'
b'ENSG00000226374'
b'ENSG00000235054'
b'ENSG00000227169'
b'ENSG00000232596'
b'ENSG00000196581'
b'ENSG00000231510'
b'ENSG00000260972'
b'ENSG00000236948'
b'ENSG00000131697'
b'ENSG00000069424'
b'ENSG00000116254'
b'ENSG00000116251'
b'ENSG00000226944'
b'ENSG00000158286'
b'ENSG00000116237'
b'ENSG00000225077'
b'ENSG00000173673'
b'ENSG00000158292'
b'ENSG00000097021'
b'ENSG00000271746'
b'ENSG00000069812'
b'ENSG00000187017'
b'ENSG00000231868'
b'ENSG00000215788'
b'ENSG00000171680'
b'ENSG00000162408'
b'ENSG00000173662'
b'ENSG00000204859'
b'ENSG00000162413'
b'ENSG00000116273'
b'ENSG00000041988'
b'ENSG00000007923'
b'ENSG00000228750'
b'ENSG00000237436'
b'ENSG00000171735'
b'ENSG00000237365'
b'ENSG00000237728'
b'ENSG00000225126'
b'ENSG00000270171'
b'ENSG00000270035'
b'ENSG00000269978'
b'ENSG00000049245'
b'ENSG00000049246'
b'ENSG00000236266'
b'ENSG00000049247'
b'ENSG00000049249'
b'ENSG00000116288'
b'ENSG00000116285'
b'ENSG00000238290'
b'ENSG00000227634'
b'ENSG00000233645'
b'ENSG00000162426'
b'ENSG00000142599'
b'ENSG00000232912'
